TradingDesk,PL
MIG,16492839.652764998
BAT,16504138.813320002
LBD,82878643.9736
MXX,49578205.388075
RMN,11521846.91935
CPA,12021468.59737
ZUC,16643372.708080001
URNG,69579788.05221
IFR,137875926.61282
CP3,4669491344.312916
040,134503287.37971002
ER2,903158884.81954
KCP,3424900701.5180855
080,456560189.0749351
ID2,3488179932.21023
101,6211397.896445001
ERX,858485531.43715
126,6099530.587335001
KPT,173539762.588995
GA2,60254948.86141001
134,7003331463.740895
142,2907946.2951700003
OMG,59146918.24277501
PAL,18720368.46087
162,10527381.21226
104,9427148.46984
JMI,9291997.684355
190,9398704.27222
RFA,6165720738.95119
218,37514319.9957
222,61206475.538715
KT2,1007271059.79899
APO,2279627646.384785
254,2285423467.19004
270,8300009.580295001
KCR,1662899902.71208
305,256073675.81892005
SIG,15530894.201535
348,9225719.601444999
KTE,248099777.29466
389,94841789.981635
KRF,2061515384.744035
418,179893870.61682
GAM,180123419.41159
BKS,4042549167.94955
KAT,3004467197.6176753
452,2392664636.248235
KTL,762451113.8935201
XTR,851592554.618355
460,209738665.92341
KPV,916400890.723345
KMM,994643025.0587602
CP5,2859651024.021965
URN,79177469.03631
524,160670716.01415002
525,2135065070.7466202
KIN,2001875833.009845
ART,16500534.393804999
530,10515160.886165
538,96170899.17591001
MM2,271419988.26380503
PDA,1172652382.054455
587,1121737256.9193
KCI,186213203.550945
612,26485210.97569
TLS,108547321.96618
KKP,474656698.38596505
652,2496049914.0221553
660,42371947.036885
678,6318358039.8425455
PEM,4500317.361375
693,4558463.394830001
KEX,18435156.386070002
ZEU,477758210.37275505
776,849416688.24308
789,17555759.183435
IAW,114136458.557075
PMF,42437319.43938
833,108203756.10270001
835,488761820.00772995
KTP,939240219.960015
846,3130395619.174485
CP4,3082344179.901725
849,226470096.105735
888,39703600.782634996
897,165076704.357775
KPA,170320233.89965
PID,3937179801.4903502
904,2349063904.824315
167,3011757064.256995
CPI,54355074.65991
940,207193257.81596002
958,8295525060.238746
APP,8430325498.580385
KOP,733760002.8074601
IV1,650045929.339985
IV2,149681197.282915
MM3,240280072.39047503
CP7,1571399135.173525
CP8,538541941.905635
MM4,262149953.20436
CP9,1378478009.50585
054,339362646.60329
082,7000523816.61978
FRA,78590201.440485
JMC,9316753.630660001
168,130786200.31828
STX,20839368.44251
IF8,109316704.864915
VCI,91648289.29282501
925,5336707.162095
926,112002736.56588
KC3,24142435.164185002
IMB,3852680901.787765
KIP,6152374342.16875
IA1A,220349491.27299002
IA1B,76779389.046945
IA1,297128880.31145
CRE,282716358.238065
EV2,74203404.8432
FEX,141975309.54084
AGR,103375731.86043
KPP,41321623.42932
KRS,194074516.62115002
UNI,1315151503.4992151
VEN,230989001.242665
KVF,78586614.304915
WIS,71319952.681175
KDL,289895437.68332
KHF,1605968191.05495
KOA,304262783.23242
KC5,56781685.622990005
KC5A,25520877.972735003
KC5B,31260807.64177
IPR,65345551.415525004
EIP,141606294.404735
IMAA,185704419.96508002
IMAB,380057994.583865
IMA,565762414.55743
EIE,92124410.95727
VCO,49210798.51584
KOR,866185406.504585
BVP,1191376868.3027952
IPB,28033654.95083
KF2,138646902.807885
LM4,1524936994.78605
LV1,312640524.27954
LV2,401682823.48129505
I5P,521116830.79819
I5PA,504775122.35929996
I5PB,16363114.099915002
I51,254472006.84729
KDO,65333538.097975
I52,131895171.312495
B5X,118489287.39144
ANG,332825072.222975
LYV,0.0
B53,102866451.8257
SUN,0.0
P5C,5825208.959125
IF7,128071177.96024
KAF,0.02044885
701,0.1792032
GAA,0.0
GAP,0.0
,
FFK ajustado,0.0
IF6,0.0
KLD,0.0
CP2,58890665.184485
GAC,0.0
GAE,0.0
GEP,0.0
KTM,5443589.52522
131,9259251.854770001
KEV,0.0
FUN,0.0
GG2,13143736.613270001
KFF,12768325.144765
KC2,0.0
IF5,0.0
IPE,0.0
LKI,0.0
1ITAUDI,14241334551.11591
1ITAUSOB,20217044952.6011
CSHGVERDE,18375451263.146736
QPMPRIV,3643311.0215999996
SAFGALSPC,689522598.534585
IF4,412182893.08222
SAFABS,0.0
QPM,0.0
4UNIDAUT,0.0
740,13915683.967495
834,28913926.33756
700,12440380.895995
IF3,781296275.6615901
KMI,0.0
VKI,0.0
827,0.0
IF2,0.0
CRD,86903165.42665
KRI,0.0
UNP,0.0
KFM,742277.209865
KDM,0.0
KEI,12284471.566495001
lV2,30028451.79096
PPE,27344046.189335
PPI,0.0
KM2,0.0
PPE2,26265132.25548
F017,0.0
SV1,0.0
FBR,0.0
sv1,139995.550785
PPI2,12412092.296305
1BBLP50M,7223107359.307046
QPMPERSON,612907065.028125
KSM,65284490.996695004
KSMPERSON,65378092.120235
KDm,10783319.35826
KSG,6603.001545
KEU,9400.573925
KUK,1289.100595
CBH,150963857.05866
KD2,9162653.124975
KPC,0.0
LCP,921331425.41552
ALPHABKT,0.0
SISTBKT,0.0
ATR,72912620.561165
1ITCUST,19803021905.75776
CSHBLUE,0.0
CSHGREEN,0.0
FFI,1015295.7796550001
KC1,1904.602495
