Emissor,Ativo,ExpiracaoAnos,RatingOp,RatingGrupo
EQUATORIAL ENERGIA S.A.,EQTL55,0,Baa3,Baa4
ALUPAR INVESTIMENTO S/A,ALUP17,0,Baa3,Baa3
LIGHT SERVICOS DE ELETRICIDADE S/A,LIGHD2,6,Baa3,Baa3
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,ENMTA2,0,Baa4,Baa4
ETC – EMPRESA TRANSMISSORA CAPIXABA S. A.,CPXB22,0,Baa4,Baa3
CIA SANEAMENTO BASICO EST. SP - SABESP,SBSPC2,0,Baa1,Baa1
ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S/A,CTNS14,0,Baa4,Baa4
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,TAEEB1,-1,Baa3,Baa3
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,CTEE17,0,Baa4,Baa3
B3 S.A. - BRASIL BOLSA BALCAO,BSA313,-1,Baa3,Baa3
RODOVIAS INTEGRADAS DO OESTE S/A,VIAL1A,1,Baa4,Baa4
COMPANHIA ENERGETICA DO CEARA-COELCE,CEAR25,-1,B4,B4
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,TAES14,-1,Baa1,Baa3
SALUS INFRAESTRUTURA PORTUARIA S.A.,SAIP11,-1,B4,B4
LIGHT SERVICOS DE ELETRICIDADE S/A,LIGHA5,0,Baa3,Baa3
CPFL GERACAO DE ENERGIA S/A,CPFGA2,6,Baa4,Baa4
COPEL  DISTRIBUICAO S/A,CPLD16,1,Baa3,Baa3
ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,ESULA2,-1,Baa4,Baa4
COPEL  DISTRIBUICAO S/A,CPLD14,-2,Baa3,Baa3
ESPERANZA TRANSMISSORA DE ENERGIA S.A..,SPRZ11,5,Baa4,Baa4
ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S/A,SAEL18,0,Baa4,Baa4
RIO PARANAPANEMA ENERGIA S/A,GEPA28,0,Baa1,Baa1
CONCESSIONARIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A,ANHB10,1,Baa4,Baa4
ENERGISA SA,ENGIA1,1,Baa3,Baa3
ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S/A,SAEL26,1,Baa3,Baa4
AES BRASIL ENERGIA S.A.,AESB11,0,Baa4,Baa4
ECORODOVIAS CONCESSOES E SERVICOS S/A,ERDV26,-3,Baa4,Baa4
COPEL  DISTRIBUICAO S/A,CPLD25,-3,Baa3,Baa3
SBF COMERCIO DE PRODUTOS ESPORTIVOS S.A.,SBFC12,0,Baa4,Ba4
EQUATORIAL ENERGIA S.A.,EQTL13,-1,Baa3,Baa4
ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S/A,CTNS15,-1,Baa4,Baa4
ECORODOVIAS CONCESSOES E SERVICOS S/A,ERDVA2,1,Baa4,Baa4
INTEGRACAO TRANSMISSORA DE ENERGIA S.A.,ITGT11,0,Baa3,Baa3
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,CTEE15,-1,Baa4,Baa3
AES TIETE EOLICA S.A.,RNEP11,0,Baa3,Baa3
RGE SUL DISTRIBUIDORA DE ENERGIA S/A,AESL17,0,Baa4,Baa4
CENTRAIS ELETRICAS BRAS.S/A - ELETROBRAS,ELET23,6,Ba1,Baa3
RODOVIAS INTEGRADAS DO OESTE S/A,VIAL19,1,Baa3,Baa4
ENERGISA TRANSMISSAO DE ENERGIA S.A.,ETEN31,0,Baa4,Baa4
CENTRAIS ELETRICAS BRAS.S/A - ELETROBRAS,ELET42,4,Baa3,Baa3
AES BRASIL OPERACOES S.A.,TIET15,-2,Baa3,Baa4
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,TAES15,0,Baa3,Baa3
CEMIG DISTRIBUICAO S/A,CMGD19,1,Baa4,Baa4
COMPANHIA ENERGETICA DE PERNAMBUCO-CELPE,CEPE19,0,Baa4,Baa4
ENGIE BRASIL ENERGIA SA,EGIE17,0,Baa4,Baa1
ENERGISA SA,ENGIA3,0,Baa4,Baa3
SBF COMERCIO DE PRODUTOS ESPORTIVOS S.A.,SBFC11,-1,Baa4,Ba4
MANAUS AMBIENTAL S.A.,MNAU13,0,Ba1,Ba1
AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A,AMBP13,2,Baa3,Baa3
MRS LOGISTICA S/A,MRSL19,-1,B4,Baa3
ALGAR TELECOM S.A.,ALGA27,0,Baa4,Baa4
MULTIPLAN EMPREENDIMENTOS IMOBILIARIOS S/A,MULP16,-1,Baa1,Baa1
DIRECIONAL ENGENHARIA S/A,DIRR16,0,Baa3,Baa3
ELETROPAULO METROPOL. ELETR. DE S.P. S/A,ELPLB4,1,Baa1,Baa4
UNIPAR CARBOCLORO S/A,UNIP16,-1,Baa3,Baa1
ECORODOVIAS CONCESSOES E SERVICOS S/A,ERDVA0,-2,Baa4,Baa4
COPEL GERACAO E TRANSMISSAO S.A.,CPGT14,-2,Baa3,Baa3
IRANI PAPEL E EMBALAGEM S.A.,CELU13,0,Baa3,Baa3
ALGAR TELECOM S.A.,ALGA26,-1,Baa4,Baa4
COMPANHIA ENERGETICA DO CEARA-COELCE,COCE27,-1,B4,B4
OMEGA ENERGIA E IMPLANTACAO 2 S/A,OMNG12,4,B4,B4
ECORODOVIAS CONCESSOES E SERVICOS S/A,ERDV18,-1,Baa4,Baa4
ENERGISA SA,ENGI49,-3,Baa3,Baa3
EQUATORIAL ENERGIA S.A.,EQTL15,1,Baa4,Baa4
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,TAEE33,-1,Baa1,Baa3
CENTRAIS ELETRICAS BRAS.S/A - ELETROBRAS,ELET13,1,Baa3,Baa3
CIA SANEAMENTO BASICO EST. SP - SABESP,SBSPB7,0,Baa1,Baa1
ENERGISA SA,ENGI28,-1,Baa3,Baa3
COPEL GERACAO E TRANSMISSAO S.A.,CPGT16,-1,Baa3,Baa3
ELEKTRO REDES S.A.,ELEK37,0,Baa3,Baa3
CEA II CENTRAIS EOLICAS ASSURUA II SPE S/A,CEAD11,5,B4,B4
B3 S.A. - BRASIL BOLSA BALCAO,BSA316,2,A4,Baa3
ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,ESULA1,0,Baa3,Baa4
COMPANHIA DE GAS DE SAO PAULO - COMGAS,GASP16,-1,Baa4,B4
CENTRAIS ELETRICAS BRAS.S/A - ELETROBRAS,ELET32,1,Baa3,Baa3
EMERGENCIA PARTICIPACOES S/A,EMGP11,3,Ba1,Ba1
CVC BRASIL OPERADORA E AGENCIA DE VIAGENS S.A.,CVCB24,0,Ba4,Ba4
COMPANHIA DE GAS DE SAO PAULO - COMGAS,GASP34,0,B4,B4
