Emissor,RatingGrupo,TradingDesk,pl_emissor,PL
CENTRAIS ELETRICAS BRAS.S/A - ELETROBRAS,Baa3,APP,1184329.320378156,8430325498.580385
ENGIE BRASIL ENERGIA SA,Baa1,ID2,10188.493601564012,3488179932.21023
ETB - EMPRESA DE TRANSMISSAO BAIANA S.A.,Baa3,IRF,964048.482233487,168954523.486945
CENTRAIS ELETRICAS BRAS.S/A - ELETROBRAS,Baa3,846,14667684.069718884,3130395619.174485
CEMIG DISTRIBUICAO S/A,Baa4,KAT,483245.46790244494,3004467197.6176753
JSL S.A,Ba5,KAT,100528.5311621065,3004467197.6176753
ECORODOVIAS CONCESSOES E SERVICOS S/A,Baa4,PAL,301886.60094161856,18720368.46087
ELETROMIDIA S.A.,Baa4,348,14114.380841584432,9225719.601444999
ALUPAR INVESTIMENTO S/A,Baa3,678,3725759.699021378,6318358039.8425455
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,Baa4,APP,315023.83578637784,8430325498.580385
AUTOPISTA REGIS BITTENCOURT S/A,Baa4,678,15874877.216273608,6318358039.8425455
AES BRASIL OPERACOES S.A.,Baa4,ID2,44811.011220037886,3488179932.21023
EQUATORIAL ENERGIA S.A.,Baa4,APP,1959428.7537134863,8430325498.580385
AES BRASIL OPERACOES S.A.,Baa4,678,9545980.644128233,6318358039.8425455
ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S/A,Baa4,846,482137.5658978628,3130395619.174485
COPEL GERACAO E TRANSMISSAO S.A.,Baa3,PID,123254.57489990474,3937179801.4903502
CALDEIRAO GRANDE ENERGIAS RENOVAVEIS S/A,Baa4,348,0.8819427453463474,9225719.601444999
COPEL  DISTRIBUICAO S/A,Baa3,APP,1982299.6662899659,8430325498.580385
JSL S.A,Ba5,678,7043210.652553212,6318358039.8425455
CEMIG DISTRIBUICAO S/A,Baa4,PDA,140606.54290456104,1172652382.054455
AES BRASIL ENERGIA S.A.,Baa4,PID,3506.3693799037906,3937179801.4903502
COMPANHIA ENERGETICA DE PERNAMBUCO-CELPE,Baa4,ID2,251491.81596152045,3488179932.21023
ENERGISA SA,Baa3,CPI,2004372.1517254123,54355074.65991
VLI MULTIMODAL S.A.,Baa4,IRF,6503139.943586451,168954523.486945
JSL S.A,Ba5,KOP,819829.8506113859,733760002.8074601
CIA SANEAMENTO BASICO EST. SP - SABESP,Baa1,FRA,132688.49353613026,78590201.440485
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,Baa3,678,13161172.428252883,6318358039.8425455
ELETROMIDIA S.A.,Baa4,FRA,1621313.2846835158,78590201.440485
AES BRASIL ENERGIA S.A.,Baa4,KAT,2623.8307125992856,3004467197.6176753
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,KCP,681585.18694163,3424900701.5180855
ENERGISA SA,Baa3,652,627478.95884743,2496049914.0221553
EQUATORIAL ENERGIA S.A.,Baa4,348,11769.39150281388,9225719.601444999
AES BRASIL OPERACOES S.A.,Baa4,PAL,30953.24231859442,18720368.46087
CEMIG DISTRIBUICAO S/A,Baa4,348,6782.804902607685,9225719.601444999
MRS LOGISTICA S/A,Baa3,KCP,453059.8510364263,3424900701.5180855
ECORODOVIAS CONCESSOES E SERVICOS S/A,Baa4,APP,4412966.010662484,8430325498.580385
CENTRAIS ELETRICAS BRAS.S/A - ELETROBRAS,Baa3,RFA,429564.915164797,6165720738.95119
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,Baa3,KAT,224262.93035512135,3004467197.6176753
COPEL GERACAO E TRANSMISSAO S.A.,Baa3,KAT,154434.10174383796,3004467197.6176753
ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S/A,Baa4,KOP,24970220.832665868,733760002.8074601
ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S/A,Baa4,846,37810021.39372149,3130395619.174485
MRS LOGISTICA S/A,Baa3,678,1163358.173020239,6318358039.8425455
AES BRASIL OPERACOES S.A.,Baa4,PDA,84014.68314454457,1172652382.054455
ALUPAR INVESTIMENTO S/A,Baa3,APP,212418.0158923777,8430325498.580385
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,Baa4,348,2454.8199627514928,9225719.601444999
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,Baa3,PEM,55355.78822006456,4500317.361375
INSPIRALI EDUCACAO S/A,Baa4,CPI,137440.42204740227,54355074.65991
ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S/A,Baa4,APP,40796.76719417504,8430325498.580385
EQUATORIAL ENERGIA S.A.,Baa4,PAL,108432.79708442609,18720368.46087
ENERGISA SA,Baa3,PAL,220100.76336361642,18720368.46087
ENGIE BRASIL ENERGIA SA,Baa1,RFA,16243.80327738679,6165720738.95119
ENERGISA SA,Baa3,KCP,51653639.62307842,3424900701.5180855
INSPIRALI EDUCACAO S/A,Baa4,ID2,22740.490990295733,3488179932.21023
ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S/A,Baa4,ID2,8951.275942699152,3488179932.21023
ENERGISA SA,Baa3,678,114098546.21038282,6318358039.8425455
JSL S.A,Ba5,ID2,13057.027851121002,3488179932.21023
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,Baa4,PAL,21550.466233222334,18720368.46087
ELETROMIDIA S.A.,Baa4,652,76134.24175674994,2496049914.0221553
ECORODOVIAS CONCESSOES E SERVICOS S/A,Baa4,FRA,1694910.7744693523,78590201.440485
CIA SANEAMENTO BASICO EST. SP - SABESP,Baa1,APO,49613.160187123955,2279627646.384785
SBF COMERCIO DE PRODUTOS ESPORTIVOS S.A.,Ba4,PEM,2907.21364564863,4500317.361375
SBF COMERCIO DE PRODUTOS ESPORTIVOS S.A.,Ba4,652,165297.94884697557,2496049914.0221553
CENTRAIS ELETRICAS BRAS.S/A - ELETROBRAS,Baa3,APO,170437.07257578115,2279627646.384785
ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S/A,Baa4,PID,19023.454854043757,3937179801.4903502
ENGIE BRASIL ENERGIA SA,Baa1,678,190256.4243971462,6318358039.8425455
CEMIG DISTRIBUICAO S/A,Baa4,APO,177617.58336780072,2279627646.384785
CENTRAIS ELETRICAS BRAS.S/A - ELETROBRAS,Baa3,KCP,17681078.081437238,3424900701.5180855
CALDEIRAO GRANDE ENERGIAS RENOVAVEIS S/A,Baa4,846,1453.6767957146972,3130395619.174485
ENERGISA SA,Baa3,PID,1501266.533998211,3937179801.4903502
BORRACHAS VIPAL S.A.,Baa4,KAT,396780.0973013345,3004467197.6176753
CEMIG DISTRIBUICAO S/A,Baa4,FRA,331689.989617628,78590201.440485
AES BRASIL OPERACOES S.A.,Baa4,348,2833.3507690154966,9225719.601444999
EQUATORIAL ENERGIA S.A.,Baa4,678,51109273.502484895,6318358039.8425455
CONCESSIONARIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A,Baa4,PID,1282017.0580662119,3937179801.4903502
CONCESSIONARIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A,Baa4,APP,2740464.7621045387,8430325498.580385
CONCESSIONARIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A,Baa4,PEM,86118.7333453216,4500317.361375
CENTRAIS ELETRICAS BRAS.S/A - ELETROBRAS,Baa3,ID2,259855.35822672214,3488179932.21023
MRS LOGISTICA S/A,Baa3,APO,8401.286859279042,2279627646.384785
COPEL  DISTRIBUICAO S/A,Baa3,ID2,443709.727133841,3488179932.21023
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,134,67595693.79352576,7003331463.740895
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,Baa3,PAL,30735.96302715479,18720368.46087
EMPRESA AMAZONENSE DE TRANSMISSAO DE ENERGIA S.A.,Baa3,KCP,2759102.623707947,3424900701.5180855
CEMIG DISTRIBUICAO S/A,Baa4,PEM,27465.83887900071,4500317.361375
ECORODOVIAS CONCESSOES E SERVICOS S/A,Baa4,652,796509.873759984,2496049914.0221553
ENERGISA SA,Baa3,ID2,708061.9776735125,3488179932.21023
MRS LOGISTICA S/A,Baa3,IRF,3314460.7507596626,168954523.486945
ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S/A,Baa4,APO,5871.071036990523,2279627646.384785
CONCESSIONARIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A,Baa4,652,507671.4976085711,2496049914.0221553
INSPIRALI EDUCACAO S/A,Baa4,APP,766849.2001590654,8430325498.580385
COPEL  DISTRIBUICAO S/A,Baa3,PID,924950.677692687,3937179801.4903502
AUTOPISTA REGIS BITTENCOURT S/A,Baa4,KAT,269355.92405823705,3004467197.6176753
CIA SANEAMENTO BASICO EST. SP - SABESP,Baa1,RFA,125043.64587324782,6165720738.95119
COPEL  DISTRIBUICAO S/A,Baa3,APO,290526.70580742916,2279627646.384785
AES BRASIL OPERACOES S.A.,Baa4,PID,300935.32095011475,3937179801.4903502
ECORODOVIAS CONCESSOES E SERVICOS S/A,Baa4,ID2,968255.0653874408,3488179932.21023
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Ba4,ID2,2.6203440211247656e-07,3488179932.21023
BORRACHAS VIPAL S.A.,Baa4,PAL,45215.946763562824,18720368.46087
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,Baa3,FRA,150679.00880252995,78590201.440485
CEMIG DISTRIBUICAO S/A,Baa4,IRF,13949196.917125307,168954523.486945
CIA SANEAMENTO BASICO EST. SP - SABESP,Baa1,KCP,5236334.523253845,3424900701.5180855
ECORODOVIAS CONCESSOES E SERVICOS S/A,Baa4,134,160123821.88996106,7003331463.740895
CONCESSIONARIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A,Baa4,CPI,1471527.2467909327,54355074.65991
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,Baa4,652,60465.79807926081,2496049914.0221553
ALUPAR INVESTIMENTO S/A,Baa3,KAT,86168.2021187047,3004467197.6176753
AES BRASIL OPERACOES S.A.,Baa4,KCP,8676545.046004381,3424900701.5180855
ENGIE BRASIL ENERGIA SA,Baa1,PEM,10.161775718967121,4500317.361375
MRS LOGISTICA S/A,Baa3,348,208.15824615035692,9225719.601444999
SBF COMERCIO DE PRODUTOS ESPORTIVOS S.A.,Ba4,APO,83294.13629401108,2279627646.384785
